Name,Performance Year,Basic EPS Based On Continuous operations,Basic EPS Based On Including Extra-Ordinary Income,Basic EPS (restated) Based On Continuous operations,Basic EPS (restated) Based On Including Extra-Ordinary Income,Net Asset Value Per Share,Restated Net Asset Value Per Share,Net Profit After Tax Continuous operations (mn),Net Profit After Tax Including Extra-Ordinary Income (mn),% Dividend,% Dividend Yield
BAY LEASING & INVESTMENT LTD.,2023,-5.88,0,0,0,6.01,0,-828.1,0,,0
BAY LEASING & INVESTMENT LTD.,2022,-5.88,0,0,0,11.93,0,-828.47,0,,0
BAY LEASING & INVESTMENT LTD.,2021,-0.99,0,0,0,17.82,0,-139.17,0,,0
BAY LEASING & INVESTMENT LTD.,2020,1.14,0,0,0,19.8,0,160.02,0,10%C,4.41
BAY LEASING & INVESTMENT LTD.,2019,1.09,0,0,0,19.8,0,150.38,0,"7.5%C,2.5%B",5.43
BBS CABLES PLC.,2024,-0.63,0,0,0,32.16,0,-133.42,0,1%C,0.39
BBS CABLES PLC.,2023,0.46,0,0,0,32.99,0,97.44,0,2%C,0.4
BBS CABLES PLC.,2022,4.01,0,0,0,34.96,0,807.66,0,"8%C,5%B",1.48
BBS CABLES PLC.,2021,4.84,0,0,0,33.5,0,930.27,0,"10%C,5%B",1.58
BBS CABLES PLC.,2020,6.66,0,0,0,32.52,0,1162.64,0,"10%C,10%B",1.83
BD THAI FOOD & BEVERAGE LTD.,2024,0.02,0,0,0,14.09,0,1.57,0,1%C,0.38
BD THAI FOOD & BEVERAGE LTD.,2023,0.17,0,0,0,14.14,0,13.61,0,,0
BD THAI FOOD & BEVERAGE LTD.,2022,0.22,0,0,0,14.12,0,15.83,0,3%C,0.85
BD THAI FOOD & BEVERAGE LTD.,2021,0.58,0,0.48,0,14.81,13.93,38.78,0,,0
BD.THAI ALUMINIUM LIMITED,2024,-0.85,0,0,0,30.56,0,-108.09,0,0.25%C,0.14
BD.THAI ALUMINIUM LIMITED,2023,-0.52,0,0,0,27.84,0,-66.61,0,,0
BD.THAI ALUMINIUM LIMITED,2022,0.02,0,0,0,28.33,0,2.41,0,,0
BD.THAI ALUMINIUM LIMITED,2021,1.25,0,0,0,28.11,0,160.34,0,2%C,0.81
BD.THAI ALUMINIUM LIMITED,2020,0.21,0,0,0,27.6,0,26.19,0,"3%C,3%B",3
BDCOM ONLINE LIMITED,2024,0.89,0,0,0,15.95,0,50.9,0,"5%C,5%B",1.95
BDCOM ONLINE LIMITED,2023,1.31,0,0,0,16.06,0,74.55,0,10%C,2.55
BDCOM ONLINE LIMITED,2022,1.4,0,0,0,15.75,0,80.18,0,10%C,2.99
BDCOM ONLINE LIMITED,2021,1.1,0,0,0,15.57,0,60.03,0,"5%C,5%B",2.08
BDCOM ONLINE LIMITED,2020,1.15,0,0,0,15.69,0,59.36,0,"5%C,5%B",2.94
BEACH HATCHERY LTD.,2024,2.03,0,0,0,12.49,0,84.25,0,10%C,1.33
BEACH HATCHERY LTD.,2023,0.93,0,0,0,10.58,0,38.35,0,2%C,0.47
BEACH HATCHERY LTD.,2022,0.22,0,0,0,9.73,0,8.98,0,1.5%C,0.33
BEACH HATCHERY LTD.,2021,-0.22,0,0,0,9.57,0,-9.3,0,1%C,0.58
BEACH HATCHERY LTD.,2020,-0.34,0,0,0,9.8,0,-14.22,0,,0
BEACON PHARMACEUTICALS PLC.,2024,2.26,0,0,0,26.37,0,521.01,0,20%C,1.31
BEACON PHARMACEUTICALS PLC.,2023,2.21,0,0,0,25.72,0,509.87,0,16%C,0.63
BEACON PHARMACEUTICALS PLC.,2022,4.05,0,0,0,25.73,0,935.04,0,16%C,0.62
BEACON PHARMACEUTICALS PLC.,2021,3.74,0,0,0,23.18,0,863.17,0,15%C,1.21
BEACON PHARMACEUTICALS PLC.,2020,1.65,0,0,0,20.04,0,380.69,0,6%C,0.99
BENGAL WINDSOR THERMOPLASTICS PLC.,2024,0.53,0,0,0,25.93,0,48.54,0,5%C,2.55
BENGAL WINDSOR THERMOPLASTICS PLC.,2023,0.51,0,0,0,25.68,0,46.32,0,5%C,1.85
BENGAL WINDSOR THERMOPLASTICS PLC.,2021,0.5,0,0,0,24.87,0,45.75,0,5%C,2.02
BENGAL WINDSOR THERMOPLASTICS PLC.,2020,0.12,0,0,0,24.39,0,10.92,0,,0
BENGAL WINDSOR THERMOPLASTICS PLC.,2019,1.06,0,0,0,24.78,0,96.71,0,5%C,1.82
BERGER PAINTS BANGLADESH LTD.,2024,69.92,0,0,0,309.53,0,3242.91,0,500%C,2.7
BERGER PAINTS BANGLADESH LTD.,2023,64.91,0,0,0,279.78,0,3010.45,0,400%C,2.33
BERGER PAINTS BANGLADESH LTD.,2022,62.68,0,0,0,227.39,0,2906.96,0,400%C,2.28
BERGER PAINTS BANGLADESH LTD.,2021,58.03,0,0,0,232.78,0,2691.53,0,375%C,2.14
BERGER PAINTS BANGLADESH LTD.,2020,52.22,0,0,0,204.2,0,2422.08,0,295%C,2.25
BEST HOLDINGS PLC.,2024,1.43,0,0,0,57.82,0,1412.27,0,10%C,3.53
BEST HOLDINGS PLC.,2023,1.24,0,1.08,0,56.34,0,1143.24,0,,0
BEXIMCO LIMITED,2024,-0.4,0,0,0,95.16,0,-358.79,0,5%B,0
BEXIMCO LIMITED,2023,7.95,0,0,0,95.14,0,7101.77,0,10%C,0.86
BEXIMCO LIMITED,2022,14.32,0,0,0,91.19,0,12547.86,0,30%C,2.31
BEXIMCO LIMITED,2022,14.32,0,0,0,91.19,0,12547.86,0,30%C,2.31
BEXIMCO LIMITED,2021,7.53,0,0,0,78.28,0,6600.61,0,35%C,3.91
BEXIMCO PHARMACEUTICALS LTD.,2024,13.07,0,0,0,107.48,0,5829.53,0,40%C,3.34
BEXIMCO PHARMACEUTICALS LTD.,2023,10.34,0,0,0,97.91,0,4614.07,0,35%C,2.4
BEXIMCO PHARMACEUTICALS LTD.,2022,11.2,0,0,0,91.01,0,4998.63,0,35%C,2.26
BEXIMCO PHARMACEUTICALS LTD.,2021,11.49,0,0,0,83.01,0,5127.69,0,35%C,1.97
BEXIMCO PHARMACEUTICALS LTD.,2020,8.67,0,0,0,80.12,0,3514.69,0,"15%C,10%B",2.17
BRAC BANK PLC.,2024,6.95,0,0,0,44.11,0,12296.24,0,"12.5%C,12.5%B",2.57
BRAC BANK PLC.,2023,4.73,0,0,0,41.36,0,7610.1,0,"10%C,10%B",2.78
BRAC BANK PLC.,2022,4.02,0,0,0,40.86,0,6013.97,0,"7.5%C,7.5%B",1.95
BRAC BANK PLC.,2021,3.93,0,0,0,41.08,0,5464.67,0,"7.5%C,7.5%B",1.36
BRAC BANK PLC.,2020,3.33,0,0,0,36.63,0,4413.38,0,"10%C,5%B",2.26
BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED,2024,32.42,0,0,0,106.88,0,17508.5,0,300%C,8.23
BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED,2023,33.11,0,0,0,99.33,0,17878.67,0,100%C,1.93
BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED,2022,33.1,0,0,0,76.27,0,17872.02,0,200%C,3.86
BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED,2021,27.72,0,0,0,68.13,0,14968.53,0,275%C,4.33
BRITISH AMERICAN TOBACCO BANGLADESH COMPANY LIMITED,2020,60.48,0,0,0,188.89,0,10886.84,0,"600%C,200%B",5.08
BSRM STEELS LIMITED,2024,10.1,0,0,0,80.93,0,3796.57,0,32%C,5.38
BSRM STEELS LIMITED,2023,7.92,0,0,0,73.32,0,2979.4,0,25%C,3.85
BSRM STEELS LIMITED,2022,8.72,0,0,0,68.99,0,3278.5,0,30%C,4.46
BSRM STEELS LIMITED,2021,8.1,0,0,0,62.38,0,3047.09,0,40%C,7.14
BSRM STEELS LIMITED,2020,1.97,0,0,0,56.84,0,742.28,0,15%C,4.46
C & A TEXTILES LIMITED,2023,0.19,0,0,0,-3.81,0,45.07,0,0.5%C,0.45
C & A TEXTILES LIMITED,2022,0.1,0,0,0,-3.61,0,23.74,0,0.4%C,0.4
C & A TEXTILES LIMITED,2021,-5.07,0,0,0,-4.06,0,-1212.47,0,,0
C & A TEXTILES LIMITED,2020,-1.28,0,0,0,1.01,0,-305.58,0,,0
C & A TEXTILES LIMITED,2019,-1.28,0,0,0,2.28,0,-307.32,0,,0
CAPITEC GRAMEEN BANK GROWTH FUND,2024,-0.73,0,0,0,9.27,0,-113.6,0,,0
CAPM BDBL MUTUAL FUND 01,2024,-1.56,0,0,0,8.81,0,-78.02,0,,0
CAPM BDBL MUTUAL FUND 01,2023,0.53,0,0,0,11.54,0,26.59,0,6%C,6.06
CAPM BDBL MUTUAL FUND 01,2022,0.73,0,0,0,12.71,0,36.48,0,8%C,7.62
CAPM BDBL MUTUAL FUND 01,2021,2.41,0,0,0,11.81,0,120.98,0,13%C,12.38
CAPM BDBL MUTUAL FUND 01,2020,-0.75,0,0,0,8.39,0,-37.73,0,,0
CAPM IBBL ISLAMIC MUTUAL FUND,2024,-1.57,0,0,0,8.67,0,-105.06,0,,0
CAPM IBBL ISLAMIC MUTUAL FUND,2023,0.53,0,0,0,11.43,0,35.34,0,6%C,4.44
CAPM IBBL ISLAMIC MUTUAL FUND,2022,0.84,0,0,0,12.39,0,55.96,0,8%C,5.33
CAPM IBBL ISLAMIC MUTUAL FUND,2021,1.89,0,0,0,11.97,0,126.26,0,13.5%C,6.37
CAPM IBBL ISLAMIC MUTUAL FUND,2020,-0.48,0,0,0,8.99,0,-31.88,0,,0
CENTRAL INSURANCE COMPANY LTD.,2024,1.85,0,0,0,50.17,0,98.16,0,12%C,2.82
CENTRAL INSURANCE COMPANY LTD.,2023,1.98,0,0,0,49.96,0,105.15,0,12%C,3.2
CENTRAL INSURANCE COMPANY LTD.,2022,2.03,0,0,0,49.48,0,107.93,0,15%C,4.2
CENTRAL INSURANCE COMPANY LTD.,2021,2.41,0,0,0,49.35,0,127.89,0,18%C,3.24
CENTRAL INSURANCE COMPANY LTD.,2020,2.18,0,0,0,25.02,0,107.98,0,"6%C,7.5%B",0.96
CENTRAL PHARMACEUTICALS LIMITED,2024,-0.35,0,0,0,7.06,0,-42.42,0,,0
CENTRAL PHARMACEUTICALS LIMITED,2023,-0.37,0,0,0,5.59,0,-43.96,0,,0
CENTRAL PHARMACEUTICALS LIMITED,2022,-0.57,0,0,0,5.96,0,-68.25,0,,0
CENTRAL PHARMACEUTICALS LIMITED,2021,-0.07,0,0,0,6.53,0,-8.6,0,,0
CENTRAL PHARMACEUTICALS LIMITED,2020,-9.24,0,0,0,6.6,0,-1107,0,,0
CHARTERED LIFE INSURANCE PLC.,2023,0.16,0,0,0,13.6,0,5.88,0,2.5%C,0.46
CHARTERED LIFE INSURANCE PLC.,2022,0.24,0,0,0,10.73,0,9,0,2%C,0.42
CHARTERED LIFE INSURANCE PLC.,2021,0.2,0,0,0,12.08,0,0,0,,0
CITY BANK PLC.,2023,5.21,0,0,0,31.42,0,6384.66,0,"15%C,10%B",6.94
CITY BANK PLC.,2022,3.98,0,0,0,28.21,0,4781.26,0,"10%C,2%B",4.59
CITY BANK PLC.,2021,5.15,0,0,0,30.68,0,5494.16,0,"12.5%C,12.5%B",5.04
CITY BANK PLC.,2020,4.29,0,0,0,29.03,0,4364.18,0,"17.5%C,5%B",7.06
CITY BANK PLC.,2019,2.59,0,0,0,24.14,0,2635.16,0,15%C,7.11
CITY INSURANCE PLC.,2024,3.08,0,0,0,21.15,0,209.68,0,10%C,2.28
CITY INSURANCE PLC.,2023,3.02,0,0,0,20.4,0,205.64,0,12%C,2.38
CITY INSURANCE PLC.,2022,2.25,0,0,0,18.57,0,153,0,10.5%C,4.05
CITY INSURANCE PLC.,2021,1.68,0,0,0,17.53,0,114.72,0,10%C,2.33
CITY INSURANCE PLC.,2020,1.77,0,0,0,16.88,0,120.75,0,10%C,3.32
CONFIDENCE CEMENT PLC,2024,8.73,0,0,0,74.75,0,753.33,0,10%C,1.51
CONFIDENCE CEMENT PLC,2023,3.31,0,0,0,69.89,0,271.56,0,"5%C,5%B",0.56
CONFIDENCE CEMENT PLC,2022,1.43,0,0,0,72.24,0,111.67,0,"5%C, 5%B",0.48
CONFIDENCE CEMENT PLC,2021,15.86,0,0,0,74.26,0,1240.74,0,25%C,1.85
CONFIDENCE CEMENT PLC,2020,8.3,0,0,0,66.73,0,618.68,0,"15%C,5%B",1.55
CONTINENTAL INSURANCE PLC.,2023,1.69,0,0,0,22.29,0,70.51,0,"5%C,5%B",1.26
CONTINENTAL INSURANCE PLC.,2022,1.59,0,0,0,22,0,66.32,0,10%C,3.3
CONTINENTAL INSURANCE PLC.,2021,1.51,0,0,0,20.42,0,62.75,0,12%C,2.53
CONTINENTAL INSURANCE PLC.,2020,1.29,0,0,0,19.84,0,51.47,0,"6%C,4%B",1.3
CONTINENTAL INSURANCE PLC.,2019,1.84,0,0,0,19.63,0,69.93,0,"5%C,5%B",2.09
COPPERTECH INDUSTRIES LTD.,2024,0.9,0,0,0,13.89,0,58.76,0,4%C,1.42
COPPERTECH INDUSTRIES LTD.,2023,0.61,0,0,0,13.19,0,39.68,0,2%C,0.51
COPPERTECH INDUSTRIES LTD.,2022,1.78,0,0,0,13.37,0,112.39,0,"4%C,4%B",1.01
COPPERTECH INDUSTRIES LTD.,2021,1.02,0,0,0,12.08,0,64.42,0,5%C,1.46
COPPERTECH INDUSTRIES LTD.,2020,0.35,0,0,0,11.24,0,21.61,0,2.5%C,1.21
CROWN CEMENT PLC.,2024,6.74,0,0,0,56.99,0,1001.37,0,21%C,3.43
CROWN CEMENT PLC.,2023,4.11,0,0,0,52.22,0,610.45,0,20%C,2.7
CROWN CEMENT PLC.,2022,-1.54,0,0,0,49.18,0,-229.27,0,10%C,1.28
CROWN CEMENT PLC.,2021,5.79,0,0,0,52.69,0,859.22,0,20%C,2.79
CROWN CEMENT PLC.,2020,-0.89,0,0,0,46.38,0,-132.45,0,10%C,2.28
CRYSTAL INSURANCE COMPANY LIMITED,2024,3.13,0,0,0,25.67,0,137.64,0,12%C,2.12
CRYSTAL INSURANCE COMPANY LIMITED,2023,3.05,0,0,0,25.87,0,121.87,0,"7%C,10%B",0.88
CRYSTAL INSURANCE COMPANY LIMITED,2022,2.72,0,0,0,24.31,0,108.96,0,10%C,2.48
CRYSTAL INSURANCE COMPANY LIMITED,2021,2.83,0,0,0,22.8,0,113.17,0,10%C,1.77
CRYSTAL INSURANCE COMPANY LIMITED,2020,4.58,0,0,0,20.98,0,115.45,0,10%C,2.54
CVO PETROCHEMICAL REFINERY PLC.,2024,2.34,0,0,0,10.31,0,65,0,10%C,0.7
CVO PETROCHEMICAL REFINERY PLC.,2023,0.46,0,0,0,8.27,0,12.9,0,5%C,0.26
CVO PETROCHEMICAL REFINERY PLC.,2022,-2.63,0,0,0,7.74,0,-72.97,0,,0
CVO PETROCHEMICAL REFINERY PLC.,2021,-2.49,0,0,0,11.55,0,-62.95,0,10%B,0
CVO PETROCHEMICAL REFINERY PLC.,2020,-0.51,0,0,0,13.9,0,-12.87,0,,0
DAFFODIL COMPUTERS PLC.,2024,0.21,0,0,0,13.24,0,10.58,0,5%C,0.65
DAFFODIL COMPUTERS PLC.,2023,0.54,0,0,0,13.53,0,26.98,0,5%C,0.75
DAFFODIL COMPUTERS PLC.,2022,0.67,0,0,0,13.49,0,33.47,0,5%C,0.7
DAFFODIL COMPUTERS PLC.,2021,0.7,0,0,0,13.42,0,34.77,0,6%C,0.96
DAFFODIL COMPUTERS PLC.,2020,0.91,0,0,0,13.75,0,45.47,0,8%C,1.5
DBH FINANCE PLC.,2024,5.07,0,0,0,47.25,0,1008.56,0,"15%C,2%B",3.85
DBH FINANCE PLC.,2023,4.95,0,0,0,43.63,0,984.45,0,15%C,2.63
DBH FINANCE PLC.,2022,5.21,0,0,0,41,0,1016.73,0,"15%C,2%B",2.6
DBH FINANCE PLC.,2021,5.89,0,0,0,40.87,0,1043.89,0,"15%C,10%B",1.95
DBH FINANCE PLC.,2020,5.78,0,0,0,41.72,0,890.93,0,"15%C,15%B",1.62
DBH FIRST MUTUAL FUND,2023,0.29,0,0,0,10.32,0,34.79,0,3%C,4.23
DBH FIRST MUTUAL FUND,2022,0.72,0,0,0,11.01,0,86.31,0,7%C,9.59
DBH FIRST MUTUAL FUND,2021,2.13,0,0,0,11.79,0,255.15,0,12%C,15
DBH FIRST MUTUAL FUND,2020,-1.08,0,0,0,9.08,0,-129.55,0,,0
DBH FIRST MUTUAL FUND,2019,0.86,0,0,0,11.27,0,102.99,0,8%C,9.41
DELTA LIFE INSURANCE COMPANY LTD.,2024,0,0,0,0,0,0,0,0,30%C,3.7
DELTA LIFE INSURANCE COMPANY LTD.,2023,0,0,0,0,0,0,0,0,30%C,2.18
DELTA LIFE INSURANCE COMPANY LTD.,2022,0,0,0,0,0,0,0,0,30%C,2.2
DELTA LIFE INSURANCE COMPANY LTD.,2021,0,0,0,0,0,0,0,0,30%C,1.55
DELTA LIFE INSURANCE COMPANY LTD.,2020,0,0,0,0,0,0,0,0,30%C,0
DELTA SPINNERS LIMITED,2017,0.29,0,0,0,14.41,0,43.72,0,10%B,0
DELTA SPINNERS LIMITED,2016,0.34,0,0,0,15.5,0,46.73,0,10%B,0
DELTA SPINNERS LIMITED,2015,0.58,0,0,0,15.89,0,72.06,0,5%C,4.2
DELTA SPINNERS LIMITED,2014,1.41,0,0,0,27.26,0,65,0,10%C,5.21
DELTA SPINNERS LIMITED,2013,1.04,0,0,0,26.82,0,47.78,0,10 C%,3.03
DESH GENERAL INSURANCE COMPANY LTD.,2023,1.04,0,0,0,11.9,0,41.53,0,5%C,1.51
DESH GENERAL INSURANCE COMPANY LTD.,2022,1.04,0,0,0,11.36,0,41.47,0,5%C,1.54
DESH GENERAL INSURANCE COMPANY LTD.,2021,1.24,0,0,0,11.32,0,46.57,0,10%C,2.44
DESH GENERAL INSURANCE COMPANY LTD.,2020,0.91,0,0,0,7.16,0,36.23,0,10%C,0
DESH GENERAL INSURANCE COMPANY LTD.,2019,1.36,0,0.81,0,11.62,10.97,32.58,0,12%C,0
DESHBANDHU POLYMER LIMITED,2024,0.13,0,0,0,18.51,0,8.13,0,1%C,0.39
DESHBANDHU POLYMER LIMITED,2023,0.59,0,0,0,19.2,0,35.96,0,2.5%C,1.07
DESHBANDHU POLYMER LIMITED,2022,0.47,0,0,0,18.21,0,29.09,0,5%C,2.63
DESHBANDHU POLYMER LIMITED,2021,0.2,0,0,0,18.07,0,12.12,0,5%C,3.25
DESHBANDHU POLYMER LIMITED,2020,0.1,0,0,0,10.48,0,6.22,0,5%C,4.81
DHAKA BANK PLC.,2023,1.66,0,0,0,22.26,0,1671.82,0,10%C,7.94
DHAKA BANK PLC.,2022,1.76,0,0,0,22.65,0,1672.94,0,"6%C,6%B",5.04
DHAKA BANK PLC.,2021,2.25,0,0,0,22.08,0,2136.46,0,12%C,8.57
DHAKA BANK PLC.,2020,2.22,0,0,0,21.69,0,1988.11,0,"6%C,6%B",5.04
DHAKA BANK PLC.,2019,1.9,0,0,0,20.97,0,1623.57,0,"5%C,5%B",4.17
DHAKA ELECTRIC SUPPLY CO. LTD.,2024,-12.72,0,0,0,37.92,0,-5055.63,0,,0
DHAKA ELECTRIC SUPPLY CO. LTD.,2023,-13.61,0,0,0,50.62,0,-5412.14,0,10%C,2.65
DHAKA ELECTRIC SUPPLY CO. LTD.,2022,1.59,0,0,0,65.96,0,630.89,0,10%C,2.58
DHAKA ELECTRIC SUPPLY CO. LTD.,2021,1.86,0,0,0,65.24,0,739.14,0,10%C,2.99
DHAKA ELECTRIC SUPPLY CO. LTD.,2020,1.15,0,0,0,46.76,0,455.65,0,10%C,2.87
DHAKA INSURANCE LIMITED,2023,2.84,0,0,0,34.59,0,113.93,0,17%C,3.28
DHAKA INSURANCE LIMITED,2022,3,0,0,0,33.99,0,120.41,0,20%C,4.18
DHAKA INSURANCE LIMITED,2021,3.64,0,0,0,33.78,0,146.2,0,25%C,3.35
DHAKA INSURANCE LIMITED,2020,2.89,0,0,0,31.61,0,116.02,0,20%C,3.68
DHAKA INSURANCE LIMITED,2019,2.06,0,0,0,30.13,0,82.57,0,15%C,4.44
DOMINAGE STEEL BUILDING SYSTEMS LTD.,2024,0.03,0,0,0,17.13,0,2.83,0,0.25%C,0.21
DOMINAGE STEEL BUILDING SYSTEMS LTD.,2023,0.04,0,0,0,17.14,0,4.58,0,0.50%,0.3
DOMINAGE STEEL BUILDING SYSTEMS LTD.,2022,0.55,0,0,0,17.23,0,56.03,0,2%C,0.85
DOMINAGE STEEL BUILDING SYSTEMS LTD.,2021,1.17,0,1.04,0,17.04,0,106.9,0,5%C,1.87
DOMINAGE STEEL BUILDING SYSTEMS LTD.,2020,1.42,0,0.97,0,21.23,17.68,92.27,0,,0
DOREEN POWER GENERATIONS AND SYSTEMS LIMITED,2024,1.81,0,0,0,49.57,0,327.48,0,10%C,3.94
DOREEN POWER GENERATIONS AND SYSTEMS LIMITED,2023,3.56,0,0,0,50.47,0,643.98,0,11%C,1.81
DOREEN POWER GENERATIONS AND SYSTEMS LIMITED,2022,10.31,0,0,0,53.15,0,1667.94,0,"18%C,12%B",2.35
DOREEN POWER GENERATIONS AND SYSTEMS LIMITED,2021,8.09,0,0,0,48.41,0,1168.59,0,"13%C,12%B",2
DOREEN POWER GENERATIONS AND SYSTEMS LIMITED,2020,6.08,0,0,0,44.68,0,797.8,0,"10%C,10%B",1.75
DRAGON SWEATER AND SPINNING LIMITED,2024,0.12,0,0,0,18.12,0,25.53,0,1%C,1.1
DRAGON SWEATER AND SPINNING LIMITED,2023,0.53,0,0,0,18.06,0,111.07,0,1%C,0.58
DRAGON SWEATER AND SPINNING LIMITED,2022,1.1,0,0,0,17.67,0,232,0,2%C,1.11
DRAGON SWEATER AND SPINNING LIMITED,2021,1.22,0,0,0,17.72,0,244.88,0,"5%C,5%B",2.67
DRAGON SWEATER AND SPINNING LIMITED,2020,1.23,0,0,0,18.98,0,213.95,0,15%B,0
DULAMIA COTTON SPINNING MILLS,2024,-0.88,0,0,0,-40.08,0,-6.66,0,,0
DULAMIA COTTON SPINNING MILLS,2023,-1.09,0,0,0,-39.2,0,-8.25,0,,0
DULAMIA COTTON SPINNING MILLS,2022,-1.13,0,0,0,-38.51,0,-8.58,0,,0
DULAMIA COTTON SPINNING MILLS,2021,-1.37,0,0,0,-37.42,0,-10.35,0,,0
DULAMIA COTTON SPINNING MILLS,2020,-1.28,0,0,0,-36.25,0,-9.69,0,,0
DUTCH-BANGLA BANK PLC.,2024,5.39,0,0,0,58.72,0,4734.76,0,"10%C,10%B",2.08
DUTCH-BANGLA BANK PLC.,2023,10.72,0,0,0,64.41,0,8017.4,0,"17.5%C,17.5%B",2.98
DUTCH-BANGLA BANK PLC.,2022,8.14,0,0,0,59.85,0,5661.69,0,"17.5%C,7.5%B",2.8
DUTCH-BANGLA BANK PLC.,2021,8.79,0,0,0,58.44,0,5561.08,0,"17.5%C,10%B",2.24
DUTCH-BANGLA BANK PLC.,2020,10,0,0,0,58.65,0,5498.74,0,"15%C,15%B",2.31
EASTERN BANK PLC.,2024,4.86,0,0,0,31.63,0,6598.98,0,"17.5%C,17.5%B",7.2
EASTERN BANK PLC.,2023,5.07,0,0,0,33.57,0,6122.42,0,"12.5%C,12.5%B",4.27
EASTERN BANK PLC.,2022,4.77,0,0,0,33.33,0,5120.59,0,"12.5%C,12.5%B",3.93
EASTERN BANK PLC.,2021,5.03,0,0,0,33.17,0,4800.22,0,"12.5%C,12.5%B",3.25
EASTERN BANK PLC.,2020,5.15,0,0,0,36.28,0,4180.38,0,"17.5%C,17.5%B",4.86
EASTERN CABLES LIMITED,2024,0.59,0,0,0,344.63,0,15.54,0,2%C,0.17
EASTERN CABLES LIMITED,2023,0.49,0,0,0,344.34,0,12.83,0,3%C,0.15
EASTERN CABLES LIMITED,2022,0.34,0,0,0,344.06,0,9.06,0,2%C,0.14
EASTERN CABLES LIMITED,2021,-4.68,0,0,0,10.42,0,-123.65,0,,0
EASTERN CABLES LIMITED,2020,-6.46,0,0,0,15.11,0,-170.57,0,,0
EASTERN HOUSING LIMITED,2024,6.04,0,0,0,83.62,0,563.83,0,19%C,2.59
EASTERN HOUSING LIMITED,2023,7.37,0,0,0,80.08,0,688.06,0,25%C,2.39
EASTERN HOUSING LIMITED,2022,5.88,0,0,0,74.71,0,549.09,0,20%C,3.47
EASTERN HOUSING LIMITED,2021,3.98,0,0,0,70.33,0,371.53,0,15%C,2.78
EASTERN HOUSING LIMITED,2020,3.12,0,0,0,62.47,0,291.3,0,15%C,3.88
EASTERN INSURANCE COMPANY LTD.,2023,2.04,0,0,0,51.55,0,88.04,0,20%C,2.96
EASTERN INSURANCE COMPANY LTD.,2022,3.57,0,0,0,52.91,0,153.99,0,22%C,4.48
EASTERN INSURANCE COMPANY LTD.,2021,5.16,0,0,0,51.52,0,229.7,0,22%C,1.91
EASTERN INSURANCE COMPANY LTD.,2020,3.35,0,0,0,47.33,0,144.48,0,20%C,1.88
EASTERN INSURANCE COMPANY LTD.,2019,3.7,0,0,0,44.54,0,159.69,0,20%C,5.15
EASTLAND INSURANCE PLC.,2024,1.07,0,0,0,21.12,0,89.51,0,10%C,5.24
EASTLAND INSURANCE PLC.,2023,1.14,0,0,0,21.67,0,95.97,0,10%C,3.94
EASTLAND INSURANCE PLC.,2022,1.63,0,0,0,21.19,0,136.82,0,10%C,4.1
EASTLAND INSURANCE PLC.,2021,1.51,0,0,0,20.89,0,126.81,0,10%C,2.58
EASTLAND INSURANCE PLC.,2020,1.12,0,0,0,21.32,0,91.58,0,"7%C,3%B",2.06
EBL FIRST MUTUAL FUND,2024,-1.89,0,0,0,7.88,0,-273.32,0,,0
EBL FIRST MUTUAL FUND,2023,-0.29,0,0,0,9.77,0,-41.82,0,,0
EBL FIRST MUTUAL FUND,2022,0.19,0,0,0,10.66,0,28.19,0,6%C,7.89
EBL FIRST MUTUAL FUND,2021,2.61,0,0,0,11.76,0,377.8,0,13%C,15.66
EBL FIRST MUTUAL FUND,2020,-1.35,0,0,0,9.15,0,-194.88,0,,0
EBL NRB MUTUAL FUND,2023,0.25,0,0,0,10.88,0,56.54,0,7%C,10.61
EBL NRB MUTUAL FUND,2022,1.22,0,0,0,11.74,0,273.5,0,11%C,16.92
EBL NRB MUTUAL FUND,2021,1.92,0,0,0,12.27,0,431.58,0,6%C,8.57
EBL NRB MUTUAL FUND,2020,-1.35,0,0,0,9.19,0,-301.77,0,,0
EBL NRB MUTUAL FUND,2019,0.31,0,0,0,10.83,0,69.17,0,3%C,4.23
eGENERATION PLC.,2024,1.44,0,0,0,23.31,0,107.73,0,10%C,2.94
eGENERATION PLC.,2023,1.45,0,0,0,22.5,0,108.95,0,10%C,2.26
eGENERATION PLC.,2022,1.43,0,0,0,21.67,0,107.41,0,10%C,2.21
eGENERATION PLC.,2021,1.61,0,1.4,0,23.96,20.86,105.3,0,10%C,2.04
eGENERATION PLC.,2020,1.55,0,1.24,0,22.1,19.69,93.16,0,,0
EMERALD OIL INDUSTRIES LIMITED,2023,0.73,0,0,0,-10.37,0,66.02,0,10%C,0.74
EMERALD OIL INDUSTRIES LIMITED,2022,0.17,0,0,0,-12.85,0,12.12,0,2%C,0.57
EMERALD OIL INDUSTRIES LIMITED,2016,3.33,0,0,0,17.23,0,180.72,0,10%B,0
EMERALD OIL INDUSTRIES LIMITED,2015,3.1,0,0,0,16.29,0,152.82,0,"10%C,10%B",2.79
EMERALD OIL INDUSTRIES LIMITED,2014,2.39,0,1.69,0,14.26,13.58,83.51,0,"10%C,5%B",2.24
